path,relative_path,size_bytes,mtime_ns,device,inode,nlink,stage,existing_sha256,evidence_path,evidence_sha256,basis,classification,row_type
<CLEAN_ROOT>/stages/CLEAN7_T5BC_V3_CANDIDATE_PILOT/04_NATIVE_C00_SEQ/BY2/A04/B3/KF_GINS_Navresult.nav,CLEAN7_T5BC_V3_CANDIDATE_PILOT/04_NATIVE_C00_SEQ/BY2/A04/B3/KF_GINS_Navresult.nav,10025634,1789736188000000000,71,964710105858,1,CLEAN7_T5BC_V3_CANDIDATE_PILOT,fa2231b4c63bee721fb49565368a640ea948f2ac48b1407bd7e8bef27563110b,<CLEAN_ROOT>/stages/CLEAN7_T5BC_V3_CANDIDATE_PILOT/04_NATIVE_C00_SEQ/BY2/A04/B3/OUTPUT_SEAL.json,afaaddfbddb571ebf02583ec53bc256d9e43545a6592ae6f6998fa4fa48868c6,P1_P2_P3_PASS:NATIVE_NAV_STD,CANDIDATE,REGULAR_FILE
<CLEAN_ROOT>/stages/CLEAN7_T5BC_V3_CANDIDATE_PILOT/04_NATIVE_C00_SEQ/BY2/A04/B3/KF_GINS_STD.txt,CLEAN7_T5BC_V3_CANDIDATE_PILOT/04_NATIVE_C00_SEQ/BY2/A04/B3/KF_GINS_STD.txt,19994626,1789736188000000000,71,964710105986,1,CLEAN7_T5BC_V3_CANDIDATE_PILOT,b576cee9e8ab8c226f52e28d8aa08e1e224eae96ee3016f8eb1d9dde313fc4aa,<CLEAN_ROOT>/stages/CLEAN7_T5BC_V3_CANDIDATE_PILOT/04_NATIVE_C00_SEQ/BY2/A04/B3/OUTPUT_SEAL.json,afaaddfbddb571ebf02583ec53bc256d9e43545a6592ae6f6998fa4fa48868c6,P1_P2_P3_PASS:NATIVE_NAV_STD,CANDIDATE,REGULAR_FILE
<CLEAN_ROOT>/stages/CLEAN7_T5BC_V3_CANDIDATE_PILOT/04_NATIVE_C00_SEQ/BY2/A04/B3/LegSA_PORT_NAV.nav,CLEAN7_T5BC_V3_CANDIDATE_PILOT/04_NATIVE_C00_SEQ/BY2/A04/B3/LegSA_PORT_NAV.nav,7926004,1789736188000000000,71,964710106210,1,CLEAN7_T5BC_V3_CANDIDATE_PILOT,7fb510d47a9b10b4d17aceff63e9c4da7271e98d857af1b3a7b2f0af9e9feab7,<CLEAN_ROOT>/stages/CLEAN7_T5BC_V3_CANDIDATE_PILOT/04_NATIVE_C00_SEQ/BY2/A04/B3/OUTPUT_SEAL.json,afaaddfbddb571ebf02583ec53bc256d9e43545a6592ae6f6998fa4fa48868c6,P1_P2_P3_PASS:NATIVE_NAV_STD,CANDIDATE,REGULAR_FILE
<CLEAN_ROOT>/stages/CLEAN7_T5BC_V3_CANDIDATE_PILOT/04_NATIVE_C00_SEQ/BY2/A04/B3/LegSA_PORT_STD.csv,CLEAN7_T5BC_V3_CANDIDATE_PILOT/04_NATIVE_C00_SEQ/BY2/A04/B3/LegSA_PORT_STD.csv,8575769,1789736188000000000,71,964710106338,1,CLEAN7_T5BC_V3_CANDIDATE_PILOT,adf8cfe9d7e7a5425e22759c4700741a96dbcf7e5684b2c21b7f7ef259890da3,<CLEAN_ROOT>/stages/CLEAN7_T5BC_V3_CANDIDATE_PILOT/04_NATIVE_C00_SEQ/BY2/A04/B3/OUTPUT_SEAL.json,afaaddfbddb571ebf02583ec53bc256d9e43545a6592ae6f6998fa4fa48868c6,P1_P2_P3_PASS:NATIVE_NAV_STD,CANDIDATE,REGULAR_FILE
<CLEAN_ROOT>/stages/CLEAN7_T5BC_V3_CANDIDATE_PILOT/04_NATIVE_C00_SEQ/BY2/F02/B3/KF_GINS_Navresult.nav,CLEAN7_T5BC_V3_CANDIDATE_PILOT/04_NATIVE_C00_SEQ/BY2/F02/B3/KF_GINS_Navresult.nav,10025634,1789736210000000000,71,964744708866,1,CLEAN7_T5BC_V3_CANDIDATE_PILOT,0cf8c313544b23a303926bb29d9f1e75cf09f89c1817f5847bf8ee2b09e4e404,<CLEAN_ROOT>/stages/CLEAN7_T5BC_V3_CANDIDATE_PILOT/04_NATIVE_C00_SEQ/BY2/F02/B3/OUTPUT_SEAL.json,d88407c8404569f4e10da7a1d9516954661a0c80794a4f7beb4dba6bf8e4899b,P1_P2_P3_PASS:NATIVE_NAV_STD,CANDIDATE,REGULAR_FILE
<CLEAN_ROOT>/stages/CLEAN7_T5BC_V3_CANDIDATE_PILOT/04_NATIVE_C00_SEQ/BY2/F02/B3/KF_GINS_STD.txt,CLEAN7_T5BC_V3_CANDIDATE_PILOT/04_NATIVE_C00_SEQ/BY2/F02/B3/KF_GINS_STD.txt,19994626,1789736210000000000,71,964744708994,1,CLEAN7_T5BC_V3_CANDIDATE_PILOT,4802c5647710125475604fc050a4fbc3b991d22299e8183ddf398d008ea100b7,<CLEAN_ROOT>/stages/CLEAN7_T5BC_V3_CANDIDATE_PILOT/04_NATIVE_C00_SEQ/BY2/F02/B3/OUTPUT_SEAL.json,d88407c8404569f4e10da7a1d9516954661a0c80794a4f7beb4dba6bf8e4899b,P1_P2_P3_PASS:NATIVE_NAV_STD,CANDIDATE,REGULAR_FILE
<CLEAN_ROOT>/stages/CLEAN7_T5BC_V3_CANDIDATE_PILOT/04_NATIVE_C00_SEQ/BY2/F02/B3/LegSA_PORT_NAV.nav,CLEAN7_T5BC_V3_CANDIDATE_PILOT/04_NATIVE_C00_SEQ/BY2/F02/B3/LegSA_PORT_NAV.nav,7933281,1789736210000000000,71,964744709218,1,CLEAN7_T5BC_V3_CANDIDATE_PILOT,063e7ae1a26ca91c9d68668e030fea950b8d92e29cf58235e76e59e416f79072,<CLEAN_ROOT>/stages/CLEAN7_T5BC_V3_CANDIDATE_PILOT/04_NATIVE_C00_SEQ/BY2/F02/B3/OUTPUT_SEAL.json,d88407c8404569f4e10da7a1d9516954661a0c80794a4f7beb4dba6bf8e4899b,P1_P2_P3_PASS:NATIVE_NAV_STD,CANDIDATE,REGULAR_FILE
<CLEAN_ROOT>/stages/CLEAN7_T5BC_V3_CANDIDATE_PILOT/04_NATIVE_C00_SEQ/BY2/F02/B3/LegSA_PORT_STD.csv,CLEAN7_T5BC_V3_CANDIDATE_PILOT/04_NATIVE_C00_SEQ/BY2/F02/B3/LegSA_PORT_STD.csv,8545866,1789736210000000000,71,964744709346,1,CLEAN7_T5BC_V3_CANDIDATE_PILOT,32274e1f74a8a0e9f31326663d25cf27da73f4de4144b9adfa1d6a3d425993ca,<CLEAN_ROOT>/stages/CLEAN7_T5BC_V3_CANDIDATE_PILOT/04_NATIVE_C00_SEQ/BY2/F02/B3/OUTPUT_SEAL.json,d88407c8404569f4e10da7a1d9516954661a0c80794a4f7beb4dba6bf8e4899b,P1_P2_P3_PASS:NATIVE_NAV_STD,CANDIDATE,REGULAR_FILE
<CLEAN_ROOT>/stages/CLEAN7_T5BC_V3_CANDIDATE_PILOT/04_NATIVE_C00_SEQ/BY2/F04/B3/KF_GINS_Navresult.nav,CLEAN7_T5BC_V3_CANDIDATE_PILOT/04_NATIVE_C00_SEQ/BY2/F04/B3/KF_GINS_Navresult.nav,10025634,1789746010000000000,71,946622956290,1,CLEAN7_T5BC_V3_CANDIDATE_PILOT,37afc091fd23d7f592b76e9b611842306382652a743d4a6a9850cae587995ac8,<CLEAN_ROOT>/stages/CLEAN7_T5BC_V3_CANDIDATE_PILOT/04_NATIVE_C00_SEQ/BY2/F04/B3/OUTPUT_SEAL.json,c8d487072491c7be2348a8d0ec2c47a7fa9db9c0dcd118e2048b605debfb4370,P1_P2_P3_PASS:NATIVE_NAV_STD,CANDIDATE,REGULAR_FILE
<CLEAN_ROOT>/stages/CLEAN7_T5BC_V3_CANDIDATE_PILOT/04_NATIVE_C00_SEQ/BY2/F04/B3/KF_GINS_STD.txt,CLEAN7_T5BC_V3_CANDIDATE_PILOT/04_NATIVE_C00_SEQ/BY2/F04/B3/KF_GINS_STD.txt,19994626,1789746010000000000,71,946622956418,1,CLEAN7_T5BC_V3_CANDIDATE_PILOT,01a44171327fe825c081bf862bc1422e38cd7d9f0c2d2d869ee14a25f33d7bfa,<CLEAN_ROOT>/stages/CLEAN7_T5BC_V3_CANDIDATE_PILOT/04_NATIVE_C00_SEQ/BY2/F04/B3/OUTPUT_SEAL.json,c8d487072491c7be2348a8d0ec2c47a7fa9db9c0dcd118e2048b605debfb4370,P1_P2_P3_PASS:NATIVE_NAV_STD,CANDIDATE,REGULAR_FILE
